child_service_id;child_welcome_email_sent_flag;child_welcome_email_read_flag;child_adaptation_scheduling_reminder_email_sent_flag;child_adaptation_scheduling_reminder_email_read_flag;child_adaptation_survey_email_sent_flag;child_adaptation_survey_email_read_flag;child_adaptation_survey_completed_flag
188774;false;false;false;false;false;false;false
188491;false;false;false;false;false;false;false
188282;false;false;false;false;false;false;false
187969;false;false;false;false;false;false;false
189555;false;false;false;false;false;false;false
187659;false;false;false;false;false;false;false
187746;false;false;false;false;false;false;false
188447;false;false;false;false;false;false;false
188514;false;false;false;false;false;false;false
187780;false;false;false;false;false;false;false
188085;false;false;false;false;false;false;false
187759;false;false;false;false;false;false;false
187557;false;false;false;false;false;false;false
187992;false;false;false;false;false;false;false
188260;false;false;false;false;false;false;false
187958;false;false;false;false;false;false;false
188337;false;false;false;false;false;false;false
187479;false;false;false;false;false;false;false
188420;false;false;false;false;false;false;false
187757;false;false;false;false;false;false;false
188530;false;false;false;false;false;false;false
188513;false;false;false;false;false;false;false
187717;false;false;false;false;false;false;false
188224;false;false;false;false;false;false;false
188199;false;false;false;false;false;false;false
188202;false;false;false;false;false;false;false
188532;false;false;false;false;false;false;false
188615;false;false;false;false;false;false;false
187658;false;false;false;false;false;false;false